name,cpumark,single_thread,cores,threads
AArch64,833.0,368.0,4,1
AArch64 rev 2 (aarch64),2409.0,903.0,8,1
AArch64 rev 4 (aarch64),1815.0,588.0,8,1
AC8257V/WAB,827.0,491.0,8,1
AC8259V/WAB,956.0,512.0,8,1
Allwinner A133,680.0,412.0,4,1
Allwinner A333,1325.0,717.0,5,1
Allwinner A523,1910.0,586.0,8,1
Allwinner A527,2187.0,661.0,8,1
Allwinner A733,3095.0,1347.0,8,1
Allwinner H618,667.0,394.0,4,1
Allwinner h728,1953.0,616.0,8,1
AMD 3015Ce,2099.0,1337.0,2,2
AMD 3015e,2618.0,1294.0,2,2
AMD 3020e,2396.0,1381.0,2,1
AMD 4700S,17650.0,2350.0,8,2
AMD A10 Micro-6700T APU,1426.0,722.0,4,1
AMD A10 PRO-7350B APU,1862.0,889.0,4,1
AMD A10 PRO-7800B APU,3310.0,1496.0,2,2
AMD A10 PRO-7850B APU,3441.0,1565.0,2,2
AMD A10-4600M APU,1947.0,1084.0,2,2
AMD A10-4655M APU,1654.0,889.0,2,2
AMD A10-4657M APU,1759.0,940.0,4,1
AMD A10-5700 APU,2754.0,1431.0,2,2
AMD A10-5745M APU,1773.0,943.0,4,1
AMD A10-5750M APU,2045.0,1165.0,4,1
AMD A10-5757M APU,1994.0,1150.0,4,1
AMD A10-5800B APU,2998.0,1557.0,2,2
AMD A10-5800K APU,2967.0,1492.0,2,2
AMD A10-6700 APU,3114.0,1603.0,4,1
AMD A10-6700T APU,2299.0,1290.0,2,2
AMD A10-6790B APU,1593.0,871.0,4,1
AMD A10-6790K APU,3112.0,1554.0,2,2
AMD A10-6800B APU,3155.0,1666.0,2,2
AMD A10-6800K APU,3189.0,1588.0,2,2
AMD A10-7300 APU,1743.0,863.0,4,1
AMD A10-7400P,2134.0,1036.0,4,1
AMD A10-7700K APU,3183.0,1424.0,2,2
AMD A10-7800 APU,3217.0,1455.0,2,2
AMD A10-7850K APU,3391.0,1496.0,2,2
AMD A10-7860K,3218.0,1457.0,2,2
AMD A10-7870K,3511.0,1539.0,2,2
AMD A10-7890K,3534.0,1586.0,2,2
AMD A10-8700P,2254.0,1164.0,2,2
AMD A10-8750,3205.0,1489.0,2,2
AMD A10-8850,3467.0,1616.0,2,2
AMD A10-9600P,2318.0,1131.0,4,1
AMD A10-9620P,2521.0,1262.0,4,1
AMD A10-9630P,3041.0,1422.0,4,1
AMD A10-9700,3558.0,1621.0,4,1
AMD A10-9700E,3250.0,1511.0,4,1
AMD A12-9700P,2422.0,1213.0,4,1
AMD A12-9720P,2631.0,1289.0,4,1
AMD A12-9730P,3005.0,1424.0,4,1
AMD A12-9800,3701.0,1709.0,2,2
AMD A12-9800E,3416.0,1566.0,4,1
AMD A4 Micro-6400T APU,1082.0,540.0,4,1
AMD A4 PRO-3340B,1719.0,697.0,4,1
AMD A4 PRO-7300B APU,1452.0,1417.0,1,2
AMD A4 PRO-7350B,1512.0,1357.0,1,2
AMD A4-1200 APU,375.0,304.0,2,1
AMD A4-1250 APU,421.0,328.0,2,1
AMD A4-1350 APU,911.0,345.0,4,1
AMD A4-3300 APU,962.0,996.0,2,1
AMD A4-3300M APU,728.0,789.0,2,1
AMD A4-3305M APU,767.0,836.0,2,1
AMD A4-3310MX APU,800.0,839.0,2,1
AMD A4-3320M APU,668.0,708.0,2,1
AMD A4-3330MX APU,761.0,921.0,2,1
AMD A4-3400 APU,1075.0,1068.0,2,1
AMD A4-3420 APU,1067.0,1119.0,2,1
AMD A4-4000 APU,1155.0,1126.0,1,2
AMD A4-4020 APU,1269.0,1218.0,2,1
AMD A4-4300M APU,967.0,984.0,1,2
AMD A4-4355M APU,801.0,799.0,2,1
AMD A4-5000 APU,1286.0,503.0,4,1
AMD A4-5050 APU,1328.0,538.0,4,1
AMD A4-5100 APU,1301.0,530.0,4,1
AMD A4-5150M APU,969.0,946.0,2,1
AMD A4-5300 APU,1364.0,1332.0,2,1
AMD A4-5300B APU,1246.0,1247.0,2,1
AMD A4-6210 APU,1493.0,601.0,4,1
AMD A4-6250J APU,1619.0,677.0,4,1
AMD A4-6300 APU,1435.0,1397.0,1,2
AMD A4-6300B APU,1328.0,1373.0,1,2
AMD A4-6320 APU,1532.0,1520.0,1,2
AMD A4-7210 APU,1667.0,721.0,4,1
AMD A4-7300 APU,1543.0,1479.0,1,2
AMD A4-9120,1222.0,1062.0,2,1
AMD A4-9120C,885.0,888.0,2,1
AMD A4-9120e,854.0,751.0,2,1
AMD A4-9125,1200.0,1031.0,2,1
AMD A6 Micro-6500T APU,1146.0,630.0,4,1
AMD A6 PRO-7050B APU,971.0,844.0,2,1
AMD A6 PRO-7400B,1640.0,1494.0,1,2
AMD A6-1450 APU,1062.0,442.0,4,1
AMD A6-3400M APU,1230.0,703.0,4,1
AMD A6-3410MX APU,1274.0,734.0,4,1
AMD A6-3420M APU,1311.0,778.0,4,1
AMD A6-3430MX APU,1389.0,776.0,4,1
AMD A6-3500 APU,1439.0,964.0,3,1
AMD A6-3600 APU,1750.0,915.0,4,1
AMD A6-3620 APU,1891.0,986.0,4,1
AMD A6-3650 APU,2098.0,1049.0,4,1
AMD A6-3670 APU,2216.0,1145.0,4,1
AMD A6-4400M APU,996.0,1016.0,1,2
AMD A6-4455M APU,811.0,798.0,1,2
AMD A6-5200 APU,1659.0,661.0,4,1
AMD A6-5345M APU,1122.0,1094.0,2,1
AMD A6-5350M APU,1207.0,1202.0,2,1
AMD A6-5357M APU,1219.0,1242.0,2,1
AMD A6-5400B APU,1465.0,1395.0,1,2
AMD A6-5400K APU,1282.0,1271.0,1,2
AMD A6-6310 APU,1671.0,734.0,4,1
AMD A6-6400B APU,1573.0,1597.0,1,2
AMD A6-6400K APU,1515.0,1447.0,1,2
AMD A6-6420B APU,1550.0,1629.0,1,2
AMD A6-6420K APU,1582.0,1553.0,2,1
AMD A6-7000 ,1002.0,840.0,2,1
AMD A6-7310 APU,1751.0,772.0,4,1
AMD A6-7400K APU,1680.0,1455.0,2,1
AMD A6-7470K,1799.0,1576.0,1,2
AMD A6-7480,1790.0,1524.0,2,1
AMD A6-8500P,1445.0,1253.0,2,1
AMD A6-8550,1762.0,1546.0,2,1
AMD A6-9200,1149.0,980.0,2,1
AMD A6-9210,1208.0,1064.0,2,1
AMD A6-9220,1320.0,1154.0,2,1
AMD A6-9220C,1053.0,995.0,2,1
AMD A6-9220e,960.0,854.0,2,1
AMD A6-9225,1335.0,1157.0,2,1
AMD A6-9230,1303.0,1124.0,2,1
AMD A6-9400,2717.0,1664.0,2,1
AMD A6-9500,1876.0,1617.0,2,1
AMD A6-9500E,1741.0,1387.0,2,1
AMD A8 PRO-7150B APU,1541.0,758.0,4,1
AMD A8 PRO-7600B APU,3023.0,1415.0,4,1
AMD A8-3500M APU,1391.0,800.0,4,1
AMD A8-3510MX APU,1631.0,898.0,4,1
AMD A8-3520M APU,1440.0,846.0,4,1
AMD A8-3530MX APU,1608.0,938.0,4,1
AMD A8-3550MX APU,1687.0,962.0,4,1
AMD A8-3800 APU,2051.0,1042.0,4,1
AMD A8-3820 APU,2181.0,1127.0,4,1
AMD A8-3850 APU,2421.0,1223.0,4,1
AMD A8-3870K APU,2369.0,1221.0,4,1
AMD A8-4500M APU,1694.0,917.0,2,2
AMD A8-4555M APU,1341.0,781.0,2,2
AMD A8-5500 APU,2611.0,1339.0,2,2
AMD A8-5500B APU,2615.0,1340.0,2,2
AMD A8-5545M APU,1628.0,866.0,4,1
AMD A8-5550M APU,1820.0,1002.0,4,1
AMD A8-5557M APU,1831.0,1069.0,4,1
AMD A8-5600K APU,2861.0,1431.0,4,1
AMD A8-6410 APU,1773.0,783.0,4,1
AMD A8-6500 APU,2553.0,1346.0,2,2
AMD A8-6500B APU,2391.0,1286.0,2,2
AMD A8-6500T APU,1983.0,1139.0,2,2
AMD A8-6600K APU,3009.0,1529.0,2,2
AMD A8-7050,1062.0,877.0,2,1
AMD A8-7100 APU,1654.0,835.0,4,1
AMD A8-7200P,2158.0,1039.0,4,1
AMD A8-7410 APU,1815.0,795.0,4,1
AMD A8-7500,3302.0,1406.0,2,2
AMD A8-7600 APU,3211.0,1440.0,2,2
AMD A8-7650K,3113.0,1394.0,2,2
AMD A8-7670K,3267.0,1500.0,4,1
AMD A8-7680,3526.0,1601.0,4,1
AMD A8-7690K,2157.0,1441.0,4,1
AMD A8-8600P,2464.0,1189.0,2,2
AMD A8-8650,3103.0,1508.0,4,1
AMD A8-9600,3278.0,1476.0,4,1
AMD A9-9400,1291.0,1160.0,2,1
AMD A9-9410,1546.0,1346.0,2,1
AMD A9-9420,1534.0,1326.0,2,1
AMD A9-9420e,1093.0,941.0,2,1
AMD A9-9425,1523.0,1326.0,2,1
AMD A9-9430,1707.0,1459.0,2,1
AMD A9-9820,3958.0,798.0,8,1
AMD Athlon 1500+,191.0,275.0,1,1
AMD Athlon 1640B,376.0,574.0,1,1
AMD Athlon 200GE,4099.0,1794.0,2,2
AMD Athlon 220GE,4444.0,1961.0,2,2
AMD Athlon 240GE,4566.0,1965.0,2,2
AMD Athlon 2650e,274.0,304.0,1,1
AMD Athlon 2800+,291.0,439.0,1,1
AMD Athlon 2850e,333.0,337.0,1,1
AMD Athlon 3000G,4442.0,1953.0,2,2
AMD Athlon 300GE,4281.0,1878.0,2,2
AMD Athlon 300U,3833.0,1747.0,2,2
AMD Athlon 320GE,4435.0,1930.0,2,2
AMD Athlon 5000 Dual-Core,872.0,898.0,2,1
AMD Athlon 5150 APU,1417.0,546.0,4,1
AMD Athlon 5200 Dual-Core,869.0,915.0,2,1
AMD Athlon 5350 APU,1797.0,697.0,4,1
AMD Athlon 5370 APU,1906.0,745.0,4,1
AMD Athlon 64 2000+,154.0,173.0,1,1
AMD Athlon 64 2600+,243.0,292.0,1,1
AMD Athlon 64 2800+,295.0,375.0,1,1
AMD Athlon 64 3000+,342.0,623.0,1,1
AMD Athlon 64 3100+,484.0,600.0,1,1
AMD Athlon 64 3200+,305.0,621.0,1,1
AMD Athlon 64 3300+,375.0,477.0,1,1
AMD Athlon 64 3400+,317.0,547.0,1,1
AMD Athlon 64 3500+,367.0,606.0,1,1
AMD Athlon 64 3700+,394.0,435.0,1,1
AMD Athlon 64 3800+,332.0,591.0,1,1
AMD Athlon 64 4000+,340.0,565.0,1,1
AMD Athlon 64 FX-55,404.0,505.0,1,1
AMD Athlon 64 FX-57,517.0,552.0,1,1
AMD Athlon 64 FX-59,465.0,575.0,1,1
AMD Athlon 64 FX-60 Dual Core,709.0,912.0,2,1
AMD Athlon 64 FX-62 Dual Core,993.0,1022.0,2,1
AMD Athlon 64 FX-74,972.0,617.0,2,1
AMD Athlon 64 X2 Dual Core 3400+,531.0,505.0,2,1
AMD Athlon 64 X2 Dual Core 3600+,618.0,655.0,2,1
AMD Athlon 64 X2 Dual Core 3800+,623.0,717.0,2,1
AMD Athlon 64 X2 Dual Core 4000+,701.0,741.0,2,1
AMD Athlon 64 X2 Dual Core 4200+,730.0,803.0,2,1
AMD Athlon 64 X2 Dual Core 4400+,675.0,764.0,2,1
AMD Athlon 64 X2 Dual Core 4600+,720.0,835.0,2,1
AMD Athlon 64 X2 Dual Core 4800+,732.0,882.0,2,1
AMD Athlon 64 X2 Dual Core 5000+,805.0,909.0,2,1
AMD Athlon 64 X2 Dual Core 5200+,858.0,938.0,2,1
AMD Athlon 64 X2 Dual Core 5400+,907.0,999.0,2,1
AMD Athlon 64 X2 Dual Core 5600+,912.0,1019.0,2,1
AMD Athlon 64 X2 Dual Core 5800+,653.0,746.0,2,1
AMD Athlon 64 X2 Dual Core 6000+,942.0,1049.0,2,1
AMD Athlon 64 X2 Dual Core 6400+,954.0,1126.0,2,1
AMD Athlon 64 X2 Dual Core BE-2300,594.0,624.0,2,1
AMD Athlon 64 X2 Dual Core BE-2350,573.0,674.0,2,1
AMD Athlon 64 X2 Dual-Core TK-42,577.0,537.0,2,1
AMD Athlon 64 X2 Dual-Core TK-53,602.0,621.0,2,1
AMD Athlon 64 X2 Dual-Core TK-55,518.0,609.0,2,1
AMD Athlon 64 X2 Dual-Core TK-57,624.0,646.0,2,1
AMD Athlon 64 X2 QL-60,655.0,653.0,2,1
AMD Athlon 64 X2 QL-62,525.0,623.0,2,1
AMD Athlon 64 X2 QL-64,618.0,702.0,2,1
AMD Athlon 64 X2 QL-65,664.0,701.0,2,1
AMD Athlon 64 X2 QL-66,641.0,751.0,2,1
AMD Athlon 64 X2 QL-67,582.0,515.0,2,1
AMD Athlon 7450 Dual-Core,789.0,853.0,2,1
AMD Athlon 7550 Dual-Core,977.0,969.0,2,1
AMD Athlon 7750 Dual-Core,997.0,1044.0,2,1
AMD Athlon 7850 Dual-Core,1058.0,1118.0,2,1
AMD Athlon Dual Core 4050e,674.0,751.0,2,1
AMD Athlon Dual Core 4450B,723.0,798.0,2,1
AMD Athlon Dual Core 4450e,710.0,802.0,2,1
AMD Athlon Dual Core 4850B,727.0,887.0,2,1
AMD Athlon Dual Core 4850e,799.0,906.0,2,1
AMD Athlon Dual Core 5000B,856.0,942.0,2,1
AMD Athlon Dual Core 5050e,846.0,917.0,2,1
AMD Athlon Dual Core 5200B,823.0,966.0,2,1
AMD Athlon Dual Core 5400B,914.0,985.0,2,1
AMD Athlon Dual Core 5600B,737.0,1003.0,2,1
AMD Athlon Gold 3150C,3110.0,1534.0,2,2
AMD Athlon Gold 3150G,6922.0,2212.0,4,1
AMD Athlon Gold 3150U,3904.0,1715.0,2,2
AMD Athlon Gold 7220U,4900.0,2206.0,2,2
AMD Athlon Gold PRO 3150G,7468.0,2305.0,4,1
AMD Athlon Gold PRO 3150GE,7006.0,2165.0,4,1
AMD Athlon Gold PRO 4150GE,8259.0,2384.0,4,1
AMD Athlon II 160u,358.0,717.0,1,1
AMD Athlon II 170u,355.0,731.0,1,1
AMD Athlon II Dual-Core M300,670.0,776.0,2,1
AMD Athlon II Dual-Core M320,770.0,856.0,2,1
AMD Athlon II Dual-Core M340,807.0,858.0,2,1
AMD Athlon II N330 Dual-Core,665.0,813.0,2,1
AMD Athlon II N350 Dual-Core,856.0,983.0,2,1
AMD Athlon II N370 Dual-Core,899.0,913.0,2,1
AMD Athlon II Neo K125,315.0,616.0,1,1
AMD Athlon II Neo K145,298.0,592.0,1,1
AMD Athlon II Neo K325 Dual-Core,439.0,495.0,2,1
AMD Athlon II Neo K345 Dual-Core,527.0,552.0,2,1
AMD Athlon II Neo N36L Dual-Core,487.0,524.0,2,1
AMD Athlon II P320 Dual-Core,714.0,823.0,2,1
AMD Athlon II P340 Dual-Core,727.0,849.0,2,1
AMD Athlon II P360 Dual-Core,760.0,875.0,2,1
AMD Athlon II X2 210e,1089.0,1051.0,2,1
AMD Athlon II X2 215,1011.0,1049.0,2,1
AMD Athlon II X2 220,1052.0,1094.0,2,1
AMD Athlon II X2 235e,1079.0,1098.0,2,1
AMD Athlon II X2 240,1060.0,1078.0,2,1
AMD Athlon II X2 240e,1007.0,1097.0,2,1
AMD Athlon II X2 245,1139.0,1136.0,2,1
AMD Athlon II X2 245e,1133.0,1174.0,2,1
AMD Athlon II X2 250,1184.0,1197.0,2,1
AMD Athlon II X2 250e,1202.0,1204.0,2,1
AMD Athlon II X2 250u,615.0,641.0,2,1
AMD Athlon II X2 255,1210.0,1235.0,2,1
AMD Athlon II X2 260,1248.0,1287.0,2,1
AMD Athlon II X2 260u,713.0,716.0,2,1
AMD Athlon II X2 265,1324.0,1349.0,2,1
AMD Athlon II X2 270,1337.0,1341.0,2,1
AMD Athlon II X2 270u,675.0,791.0,2,1
AMD Athlon II X2 280,1384.0,1468.0,2,1
AMD Athlon II X2 4300e,990.0,1074.0,2,1
AMD Athlon II X2 4400e,989.0,1070.0,2,1
AMD Athlon II X2 4450e,587.0,667.0,2,1
AMD Athlon II X2 B22,1064.0,1125.0,2,1
AMD Athlon II X2 B24,1133.0,1185.0,2,1
AMD Athlon II X2 B26,1253.0,1278.0,2,1
AMD Athlon II X2 B28,1288.0,1357.0,2,1
AMD Athlon II X3 400e,1320.0,908.0,3,1
AMD Athlon II X3 405e,1331.0,973.0,3,1
AMD Athlon II X3 415e,1481.0,1028.0,3,1
AMD Athlon II X3 420e,1557.0,1058.0,3,1
AMD Athlon II X3 425,1599.0,1086.0,3,1
AMD Athlon II X3 435,1645.0,1164.0,3,1
AMD Athlon II X3 440,1743.0,1204.0,3,1
AMD Athlon II X3 445,1811.0,1255.0,3,1
AMD Athlon II X3 450,1865.0,1299.0,3,1
AMD Athlon II X3 455,1938.0,1333.0,3,1
AMD Athlon II X3 460,1965.0,1379.0,3,1
AMD Athlon II X4 553,2418.0,1204.0,4,1
AMD Athlon II X4 555,2526.0,1244.0,4,1
AMD Athlon II X4 557,2567.0,1345.0,4,1
AMD Athlon II X4 559,2652.0,1397.0,4,1
AMD Athlon II X4 600e,1795.0,913.0,4,1
AMD Athlon II X4 605e,1964.0,1001.0,4,1
AMD Athlon II X4 610e,1959.0,1039.0,4,1
AMD Athlon II X4 615e,2018.0,1033.0,4,1
AMD Athlon II X4 620,2009.0,1051.0,4,1
AMD Athlon II X4 630,2180.0,1131.0,4,1
AMD Athlon II X4 631 Quad-Core,2118.0,1115.0,4,1
AMD Athlon II X4 635,2250.0,1170.0,4,1
AMD Athlon II X4 638 Quad-Core,2260.0,1158.0,4,1
AMD Athlon II X4 640,2273.0,1212.0,4,1
AMD Athlon II X4 641 Quad-Core,2313.0,1189.0,4,1
AMD Athlon II X4 645,2378.0,1259.0,4,1
AMD Athlon II X4 650,2490.0,1310.0,4,1
AMD Athlon II X4 651 Quad-Core,2433.0,1269.0,4,1
AMD Athlon II X4 655,2487.0,1430.0,4,1
AMD Athlon L110,211.0,328.0,1,1
AMD Athlon LE-1600,412.0,430.0,1,1
AMD Athlon LE-1620,421.0,475.0,1,1
AMD Athlon LE-1640,430.0,489.0,1,1
AMD Athlon LE-1660,416.0,428.0,1,1
AMD Athlon Neo MV-40,281.0,487.0,1,1
AMD Athlon Neo X2 Dual Core 6850e,456.0,566.0,2,1
AMD Athlon Neo X2 Dual Core L325,556.0,567.0,2,1
AMD Athlon Neo X2 Dual Core L335,529.0,570.0,2,1
AMD Athlon PRO 200GE,3816.0,1768.0,2,2
AMD Athlon PRO 300GE,4342.0,1889.0,2,2
AMD Athlon PRO 300U,4080.0,1931.0,2,2
AMD Athlon PRO 3045B,2770.0,1520.0,2,1
AMD Athlon Silver 10 with Radeon Graphics,3543.0,2089.0,2,1
AMD Athlon Silver 3050C,2879.0,1809.0,2,1
AMD Athlon Silver 3050e,2990.0,1448.0,2,2
AMD Athlon Silver 3050GE,4545.0,2016.0,2,2
AMD Athlon Silver 3050U,2947.0,1692.0,2,1
AMD Athlon Silver 7120e with Radeon Graphics,3837.0,2219.0,2,1
AMD Athlon Silver 7120U,3036.0,1876.0,2,1
AMD Athlon Silver PRO 3125GE,4633.0,2074.0,2,2
AMD Athlon TF-20,265.0,454.0,1,1
AMD Athlon TF-36,338.0,349.0,1,1
AMD Athlon X2 215,996.0,1107.0,2,1
AMD Athlon X2 240,921.0,1017.0,2,1
AMD Athlon X2 240e,1015.0,1092.0,2,1
AMD Athlon X2 250,855.0,1099.0,2,1
AMD Athlon X2 255,938.0,1095.0,2,1
AMD Athlon X2 280,1327.0,1258.0,2,1
AMD Athlon X2 340 Dual Core,1334.0,1270.0,2,1
AMD Athlon X2 370K Dual Core,1439.0,1354.0,1,2
AMD Athlon X2 450,1295.0,878.0,2,1
AMD Athlon X2 Dual Core 3250e,348.0,466.0,2,1
AMD Athlon X2 Dual Core 6850e,564.0,623.0,2,1
AMD Athlon X2 Dual Core BE-2300,570.0,644.0,2,1
AMD Athlon X2 Dual Core BE-2350,591.0,705.0,2,1
AMD Athlon X2 Dual Core BE-2400,674.0,749.0,2,1
AMD Athlon X2 Dual Core L310,343.0,403.0,2,1
AMD Athlon X3 425,1516.0,845.0,3,1
AMD Athlon X3 435,1781.0,1192.0,3,1
AMD Athlon X3 440,1438.0,1129.0,3,1
AMD Athlon X3 445,1626.0,1270.0,3,1
AMD Athlon X3 455,1783.0,1227.0,3,1
AMD Athlon X4 530,1786.0,690.0,4,1
AMD Athlon X4 620,1810.0,1033.0,4,1
AMD Athlon X4 640,2115.0,1224.0,4,1
AMD Athlon X4 730,2278.0,937.0,2,2
AMD Athlon X4 740 Quad Core,2646.0,1357.0,2,2
AMD Athlon X4 750 Quad Core,2751.0,1510.0,4,1
AMD Athlon X4 750K Quad Core,2905.0,1480.0,2,2
AMD Athlon X4 760K Quad Core,2977.0,1524.0,2,2
AMD Athlon X4 830,3018.0,1307.0,2,2
AMD Athlon X4 840,3332.0,1478.0,2,2
AMD Athlon X4 845,3762.0,1656.0,2,2
AMD Athlon X4 850,2756.0,1286.0,4,1
AMD Athlon X4 860K,3416.0,1514.0,2,2
AMD Athlon X4 870K,3452.0,1540.0,2,2
AMD Athlon X4 880K,3630.0,1620.0,2,2
AMD Athlon X4 950,3577.0,1623.0,4,1
AMD Athlon X4 970,3677.0,1697.0,4,1
AMD Athlon XP 1500+,167.0,251.0,1,1
AMD Athlon XP 1600+,174.0,265.0,1,1
AMD Athlon XP 1700+,176.0,272.0,1,1
AMD Athlon XP 1800+,195.0,301.0,1,1
AMD Athlon XP 1900+,203.0,312.0,1,1
AMD Athlon XP 2000+,195.0,311.0,1,1
AMD Athlon XP 2100+,210.0,327.0,1,1
AMD Athlon XP 2200+,214.0,335.0,1,1
AMD Athlon XP 2400+,234.0,375.0,1,1
AMD Athlon XP 2500+,231.0,353.0,1,1
AMD Athlon XP 2600+,242.0,380.0,1,1
AMD Athlon XP 2700+,256.0,398.0,1,1
AMD Athlon XP 2800+,260.0,408.0,1,1
AMD Athlon XP 2900+,276.0,410.0,1,1
AMD Athlon XP 3000+,262.0,396.0,1,1
AMD Athlon XP 3100+,282.0,431.0,1,1
AMD Athlon XP 3200+,281.0,430.0,1,1
AMD Athlon XP1600+,183.0,272.0,1,1
AMD Athlon XP2400+,243.0,390.0,1,1
AMD Athlon64 X2 Dual Core 4600+,803.0,755.0,2,1
AMD BC-250,13897.0,2198.0,6,2
AMD C-30,178.0,375.0,1,1
AMD C-50,262.0,308.0,2,1
AMD C-60,290.0,354.0,2,1
AMD C-60 APU,316.0,357.0,2,1
AMD C-70 APU,315.0,364.0,2,1
AMD Custom APU 0932,9441.0,2230.0,4,2
AMD E-240,195.0,403.0,1,1
AMD E-300 APU,336.0,394.0,2,1
AMD E-350,430.0,489.0,2,1
AMD E-350 APU,423.0,490.0,2,1
AMD E-350D APU,486.0,523.0,2,1
AMD E-450 APU,439.0,497.0,2,1
AMD E1 Micro-6200T APU,600.0,498.0,2,1
AMD E1-1200 APU,380.0,429.0,2,1
AMD E1-1500 APU,385.0,450.0,2,1
AMD E1-2100 APU,408.0,322.0,2,1
AMD E1-2200 APU,474.0,368.0,2,1
AMD E1-2500 APU,593.0,451.0,2,1
AMD E1-6010 APU,542.0,428.0,2,1
AMD E1-6015 APU,584.0,452.0,2,1
AMD E1-6050J APU ,1385.0,787.0,2,1
AMD E1-7010 APU,613.0,486.0,2,1
AMD E2-1800 APU,451.0,526.0,2,1
AMD E2-2000 APU,496.0,538.0,2,1
AMD E2-3000 APU,743.0,532.0,2,1
AMD E2-3000M APU,668.0,731.0,2,1
AMD E2-3200 APU,971.0,980.0,2,1
AMD E2-3800 APU,1136.0,435.0,4,1
AMD E2-6110 APU,1233.0,489.0,4,1
AMD E2-7015,611.0,480.0,2,1
AMD E2-7015 APU,654.0,504.0,2,1
AMD E2-7110 APU,1492.0,604.0,4,1
AMD E2-9000,958.0,819.0,2,1
AMD E2-9000e,883.0,742.0,2,1
AMD E2-9010,1073.0,906.0,2,1
AMD E2-9030,983.0,860.0,2,1
AMD Embedded G-Series GX-215JJ Radeon R2E,1094.0,877.0,2,1
AMD Embedded G-Series GX-224IJ Radeon R4E,1271.0,1119.0,2,1
AMD Embedded G-Series GX-420GI Radeon R7E,1608.0,853.0,4,1
AMD Embedded R-Series RX-216GD,1628.0,1313.0,2,1
AMD Embedded R-Series RX-418GD Radeon R6,3426.0,1467.0,4,1
AMD Embedded R-Series RX-421BD,3000.0,1361.0,4,1
AMD Embedded R-Series RX-421ND,3024.0,1337.0,4,1
AMD EPYC 3101 4-Core,6050.0,1787.0,4,1
AMD EPYC 3151,8306.0,1873.0,4,2
AMD EPYC 3201,8672.0,1564.0,8,1
AMD EPYC 3251,13705.0,1820.0,8,2
AMD EPYC 3451,19532.0,1700.0,16,2
AMD EPYC 4124P,18139.0,3897.0,4,2
AMD EPYC 4244P,27164.0,3858.0,6,2
AMD EPYC 4245P,31186.0,4573.0,6,2
AMD EPYC 4344P,33325.0,3526.0,8,2
AMD EPYC 4345P,36326.0,4514.0,8,2
AMD EPYC 4364P,34215.0,3547.0,8,2
AMD EPYC 4464P,47383.0,4145.0,12,2
AMD EPYC 4465P,50008.0,4575.0,12,2
AMD EPYC 4484PX,50547.0,4119.0,12,2
AMD EPYC 4545P,54261.0,4471.0,16,2
AMD EPYC 4564P,64443.0,4292.0,16,2
AMD EPYC 4565P,63939.0,4738.0,16,2
AMD EPYC 4584PX,59990.0,3925.0,16,2
AMD EPYC 4585PX,68543.0,4517.0,16,2
AMD EPYC 7203,17717.0,2150.0,8,2
AMD EPYC 7203P,22017.0,2537.0,8,2
AMD EPYC 7232P,17712.0,1782.0,8,2
AMD EPYC 7251,14935.0,1671.0,8,2
AMD EPYC 7252,19411.0,2020.0,8,2
AMD EPYC 7261,11149.0,1005.0,8,2
AMD EPYC 7262,20779.0,2041.0,8,2
AMD EPYC 7272,25161.0,1886.0,12,2
AMD EPYC 7281,21621.0,1626.0,16,2
AMD EPYC 7282,30289.0,1959.0,16,2
AMD EPYC 72F3,27252.0,3070.0,8,2
AMD EPYC 7301,14991.0,1363.0,16,2
AMD EPYC 7302,33499.0,2024.0,16,2
AMD EPYC 7302P,32752.0,1900.0,16,2
AMD EPYC 7303,28572.0,1460.0,16,2
AMD EPYC 7303P,36487.0,2517.0,16,2
AMD EPYC 7313,38938.0,2434.0,16,2
AMD EPYC 7313P,40480.0,2571.0,16,2
AMD EPYC 7343,43644.0,2740.0,16,2
AMD EPYC 7351,23226.0,1803.0,16,2
AMD EPYC 7351P,25088.0,1727.0,16,2
AMD EPYC 7352,40370.0,1979.0,24,2
AMD EPYC 7371,30156.0,2307.0,16,2
AMD EPYC 73F3,46103.0,2883.0,16,2
AMD EPYC 7401P,27836.0,1680.0,24,2
AMD EPYC 7402,46012.0,2129.0,24,2
AMD EPYC 7402P,43855.0,2022.0,24,2
AMD EPYC 7413,50641.0,2400.0,24,2
AMD EPYC 7443,56743.0,2927.0,24,2
AMD EPYC 7443P,56808.0,2895.0,24,2
AMD EPYC 7451,26639.0,1947.0,24,2
AMD EPYC 7452,45764.0,1991.0,32,2
AMD EPYC 7453,48453.0,2533.0,28,2
AMD EPYC 7473X,59280.0,2751.0,24,2
AMD EPYC 74F3,60666.0,2942.0,24,2
AMD EPYC 7501,24925.0,1925.0,32,2
AMD EPYC 7502,52427.0,2089.0,32,2
AMD EPYC 7502P,51206.0,2029.0,32,2
AMD EPYC 7513,58869.0,2534.0,32,2
AMD EPYC 7532,50726.0,2013.0,32,2
AMD EPYC 7542,45020.0,1957.0,32,2
AMD EPYC 7543,61909.0,2399.0,32,2
AMD EPYC 7543P,66590.0,2737.0,32,2
AMD EPYC 7551,25844.0,1706.0,32,2
AMD EPYC 7551P,38111.0,1772.0,32,2
AMD EPYC 7552,57414.0,1913.0,48,2
AMD EPYC 7571,28574.0,1855.0,32,2
AMD EPYC 7573X,69432.0,2674.0,32,2
AMD EPYC 75F3,64505.0,2414.0,32,2
